candidate,state,district,office,year,party,district_i,cand_id,fec_raw_name,cand_ici,bonica_rid,ICPSR,NID,cfscore,seat,lname,fname,cfscore_dyn,dwnom1,dwnom2,dime_district,dime_ico,candidate_icpsr,name_key,party_full,stage,data_source,district_id,candidate_year_stage,on_ballot,general_votes
Kelli Ward,AZ,0.0,senate,2020,R,0.0,S6AZ00233,"WARD, KELLI",O,cand123055,S6AZ002332020,NS6AZ00233,1.513,federal:senate,ward,kelli,,,,,,"Ward, Kelli",ward_kelli,republican,2,general_wayback,,"Ward, Kelli_2020_2",False,
Scyller Borglum,SD,0.0,senate,2020,R,0.0,S0SD00088,"BORGLUM, SCYLLER",C,cand154594,S0SD000882020,NS0SD00088,1.404,federal:senate,borglum,scyller,1.544,,,SDS20,C,"Borglum, Scyller",borglum_scyller,republican,2,general_wayback,,"Borglum, Scyller_2020_2",False,
Roy Stewart Moore,AL,0.0,senate,2020,R,0.0,S0AL00297,"MOORE, ROY STEWART",C,cand150177,S0AL002972020,NS0AL00297,1.547,federal:senate,moore,roy,1.547,,,ALS20,C,"Moore, Roy Stewart",moore_roy,republican,2,general_wayback,,"Moore, Roy Stewart_2020_2",False,
William M. Cassidy,LA,0.0,senate,2020,R,0.0,S4LA00107,"CASSIDY, WILLIAM M.",I,cand1046,S4LA001072022,N00030245,0.994,federal:senate,cassidy,william,0.942,0.469,-0.066,LAS20,I,"Cassidy, William M.",cassidy_william,republican,2,general_wayback,,"Cassidy, William M._2020_2",True,1228908
Adrian Perkins,LA,0.0,senate,2020,D,0.0,S0LA00386,"PERKINS, ADRIAN",C,cand154525,S0LA003862020,NS0LA00386,-1.024,federal:senate,perkins,adrian,-1.024,,,LAS20,C,"Perkins, Adrian",perkins_adrian,democrat,2,general_wayback,,"Perkins, Adrian_2020_2",True,394049
James E Risch,ID,0.0,senate,2020,R,0.0,S8ID00092,"RISCH, JAMES E",I,cand1590,409022022,N00029441,0.919,federal:senate,risch,james,0.783,0.549,0.393,IDS20,I,"Risch, James E",risch_james,republican,2,general_wayback,,"Risch, James E_2020_2",True,538446
Antoine Pierce,LA,0.0,senate,2020,D,0.0,S0LA00311,"PIERCE, ANTOINE",C,cand154519,S0LA003112020,NS0LA00311,-1.08,federal:senate,pierce,antoine,-1.08,,,LAS20,C,"Pierce, Antoine",pierce_antoine,democrat,2,general_wayback,,"Pierce, Antoine_2020_2",True,55710
Arthur Wayne Johnson,GA,0.0,senate,2020,R,0.0,S0GA00492,"JOHNSON, ARTHUR WAYNE",C,cand154473,S0GA004922020,NS0GA00492,2.113,federal:senate,johnson,arthur,2.113,,,GAS20,C,"Johnson, Arthur Wayne",johnson_arthur,republican,2,general_wayback,,"Johnson, Arthur Wayne_2020_2",True,36176
Roger Sen. Wicker,MS,0.0,senate,2020,R,0.0,S8MS00196,"WICKER, ROGER SEN.",I,cand1371,295342020,N00003280,1.107,federal:senate,wicker,roger,,,,,,"Wicker, Roger Sen.",wicker_roger,republican,2,general_wayback,,"Wicker, Roger Sen._2020_2",False,
John H Merrill,AL,0.0,senate,2020,R,0.0,S0AL00289,"MERRILL, JOHN H",C,cand4539,S0AL002892020,NS0AL00289,1.099,federal:senate,merrill,john,1.267,,,ALS20,C,"Merrill, John H",merrill_john,republican,2,general_wayback,,"Merrill, John H_2020_2",False,
Jessica Scarane,DE,0.0,senate,2020,D,0.0,S0DE00175,"SCARANE, JESSICA",C,cand154466,S0DE001752020,NS0DE00175,-1.228,federal:senate,scarane,jessica,-1.228,,,DES20,C,"Scarane, Jessica",scarane_jessica,democrat,2,general_wayback,,"Scarane, Jessica_2020_2",False,
Jane Raybould,NE,0.0,senate,2020,D,0.0,S8NE00182,"RAYBOULD, JANE",C,cand141993,S8NE001822018,NS8NE00182,-0.995,federal:senate,raybould,jane,,,,,,"Raybould, Jane",raybould_jane,democrat,2,general_wayback,,"Raybould, Jane_2020_2",False,
Tamara Johnson-Shealey,GA,0.0,senate,2020,D,0.0,S0GA00484,"JOHNSON-SHEALEY, TAMARA",C,cand154472,S0GA004842022,NS0GA00484,-1.564,federal:senate,johnson shealey,tamara,-1.612,,,GAS20,C,"Johnson-Shealey, Tamara",johnsonshealey_tamara,democrat,2,general_wayback,,"Johnson-Shealey, Tamara_2020_2",True,106767
Sandy Smith,NC,0.0,senate,2020,R,0.0,S0NC00293,"SMITH, SANDY",C,cand159323,S0NC002932020,NS0NC00293,1.454,federal:senate,smith,sandy,1.363,,,NC03,C,"Smith, Sandy",smith_sandy,republican,2,general_wayback,,"Smith, Sandy_2020_2",False,
Eric Brakey,ME,0.0,senate,2020,R,0.0,S8ME00130,"BRAKEY, ERIC",C,cand140847,S8ME001302020,NS8ME00130,1.414,federal:senate,brakey,eric,,,,,,"Brakey, Eric",brakey_eric,republican,2,general_wayback,,"Brakey, Eric_2020_2",False,
Joshua Mr. Mahony,AR,0.0,senate,2020,D,0.0,S0AR00200,"MAHONY, JOSHUA MR.",C,cand149074,S0AR002002020,NS0AR00200,-1.034,federal:senate,mahony,joshua,-1.034,,,ARS20,C,"Mahony, Joshua Mr.",mahony_joshua,democrat,2,general_wayback,,"Mahony, Joshua Mr._2020_2",False,
Daniel Mccarthy,AZ,0.0,senate,2020,R,0.0,S0AZ00376,"MCCARTHY, DANIEL",C,cand150541,S0AZ003762020,NS0AZ00376,1.744,federal:senate,mccarthy,daniel,1.975,,,AZS20,C,"Mccarthy, Daniel",mccarthy_daniel,republican,2,general_wayback,,"Mccarthy, Daniel_2020_2",False,
Elisa Martinez,NM,0.0,senate,2020,R,0.0,S0NM00090,"MARTINEZ, ELISA",O,cand154568,S0NM000902020,NS0NM00090,1.366,federal:senate,martinez,elisa,1.366,,,NMS20,O,"Martinez, Elisa",martinez_elisa,republican,2,general_wayback,,"Martinez, Elisa_2020_2",False,
Natisha Brooks,TN,0.0,senate,2020,R,0.0,S0TN00235,"BROOKS, NATISHA",O,cand154601,S0TN002352020,NS0TN00235,2.173,federal:senate,brooks,natisha,2.173,,,TNS20,O,"Brooks, Natisha",brooks_natisha,republican,2,general_wayback,,"Brooks, Natisha_2020_2",False,
Charles E Grassley,IA,0.0,senate,2020,R,0.0,S0IA00028,"GRASSLEY, CHARLES E ",I,cand251,142262018,N00001758,0.938,federal:senate,grassley,charles,,,,,,"Grassley, Charles E",grassley_charles,republican,2,general_wayback,,"Grassley, Charles E_2020_2",False,
John S Mccain,AZ,0.0,senate,2020,R,0.0,S6AZ00019,"MCCAIN, JOHN S",C,cand625,150392018,N00006424,0.831,federal:senate,mccain,john,,,,,,"Mccain, John S",mccain_john,republican,2,general_wayback,,"Mccain, John S_2020_2",False,
Rafael Edward Ted Cruz,TX,0.0,senate,2020,R,0.0,S2TX00312,"CRUZ, RAFAEL EDWARD  TED",,cand105110,S2TX003122020,N00033085,1.478,federal:senate,cruz,rafael,,,,,,"Cruz, Rafael Edward Ted",cruz_rafael,republican,2,general_wayback,,"Cruz, Rafael Edward Ted_2020_2",False,
Frank J Jr Addivinola,MA,0.0,senate,2020,R,0.0,S4MA00242,"ADDIVINOLA, FRANK J JR",C,cand189573,H2MA051202014,N00034889,1.128,federal:house,addivinola,frank,,,,,,"Addivinola, Frank J Jr",addivinola_frank,republican,2,general_wayback,,"Addivinola, Frank J Jr_2020_2",False,
Rikin Mehta,NJ,0.0,senate,2020,R,0.0,S0NJ00217,"MEHTA, RIKIN",C,cand154560,S0NJ002172020,NS0NJ00217,1.143,federal:senate,mehta,rikin,1.143,,,NJS20,C,"Mehta, Rikin",mehta_rikin,republican,2,general_wayback,,"Mehta, Rikin_2020_2",True,1817052
Douglas Allen Collins,GA,0.0,senate,2020,R,0.0,S0GA00567,"COLLINS, DOUGLAS ALLEN",C,cand154479,S0GA005672020,NS0GA00567,1.399,federal:senate,collins,douglas,1.399,,,GAS20,C,"Collins, Douglas Allen",collins_douglas,republican,2,general_wayback,,"Collins, Douglas Allen_2020_2",True,980454
John Mues,MT,0.0,senate,2020,D,0.0,S0MT00108,"MUES, JOHN",C,cand150205,S0MT001082020,NS0MT00108,-1.024,federal:senate,mues,john,-1.024,,,MTS20,C,"Mues, John",mues_john,democrat,2,general_wayback,,"Mues, John_2020_2",False,
Blaine P Hon. Dunn,VA,0.0,senate,2020,R,0.0,S0VA00187,"DUNN, BLAINE P HON.",C,cand154632,S0VA001872020,NS0VA00187,1.967,federal:senate,dunn,blaine,1.967,,,VAS20,C,"Dunn, Blaine P Hon.",dunn_blaine,republican,2,general_wayback,,"Dunn, Blaine P Hon._2020_2",False,
Michael James Lapierre,SC,0.0,senate,2020,R,0.0,S0SC00313,"LAPIERRE, MICHAEL JAMES",C,cand149339,S0SC003132020,NS0SC00313,1.555,federal:senate,lapierre,michael,1.555,,,SCS20,C,"Lapierre, Michael James",lapierre_michael,republican,2,general_wayback,,"Lapierre, Michael James_2020_2",False,
Robert Bruce Barnheiser,MN,0.0,senate,2020,R,0.0,S8MN00560,"BARNHEISER, ROBERT BRUCE",C,,,,,,,,,,,,,"Barnheiser, Robert Bruce",barnheiser_robert,republican,2,general_wayback,,"Barnheiser, Robert Bruce_2020_2",False,
Mark Kelly,AZ,0.0,senate,2020,D,0.0,S0AZ00350,"KELLY, MARK",I,cand159285,S0AZ003502022,NS0AZ00350,-1.121,federal:senate,kelly,mark,-1.121,-0.208,0.268,AZS20,C,"Kelly, Mark",kelly_mark,democrat,2,general_wayback,,"Kelly, Mark_2020_2",True,1716467
Roger W Marshall,KS,0.0,senate,2020,R,0.0,H6KS01179,"MARSHALL, ROGER W",I,cand142019,H6KS011792020,NH6KS01179,1.227,federal:house,marshall,roger,1.246,0.59,0.169,KS01,I,"Marshall, Roger W",marshall_roger,republican,2,general_wayback,,"Marshall, Roger W_2020_2",True,727962
T. Jonathan Ossoff,GA,0.0,senate,2020,D,0.0,S8GA00180,"OSSOFF, T. JONATHAN",C,cand150570,S8GA001802022,NS8GA00180,-1.173,federal:senate,ossoff,t jonathan,-1.168,,,GAS20,C,"Ossoff, T. Jonathan",ossoff_t,democrat,2,general_wayback,,"Ossoff, T. Jonathan_2020_2",True,2374519
Jason Lewis,MN,0.0,senate,2020,R,0.0,S0MN00328,"LEWIS, JASON",C,cand150559,S0MN003282020,NS0MN00328,1.481,federal:senate,lewis,jason,1.481,,,MNS20,C,"Lewis, Jason",lewis_jason,republican,2,general_wayback,,"Lewis, Jason_2020_2",True,1398145
Atul Kumar Goel,NC,0.0,senate,2020,D,0.0,S0NC00350,"GOEL, ATUL KUMAR",C,,,,,,,,,,,,,"Goel, Atul Kumar",goel_atul,democrat,2,general_wayback,,"Goel, Atul Kumar_2020_2",False,
Cindy Hyde-Smith,MS,0.0,senate,2020,R,0.0,S8MS00261,"HYDE-SMITH, CINDY",I,cand145318,S8MS002612022,NS8MS00261,1.32,federal:senate,hyde smith,cindy,1.194,,,MSS20,I,"Hyde-Smith, Cindy",hydesmith_cindy,republican,2,general_wayback,,"Hyde-Smith, Cindy_2020_2",True,709511
Angelic Marie Philips,NE,0.0,senate,2020,D,0.0,S0NE00072,"PHILIPS, ANGELIC MARIE",C,cand150209,S0NE000722020,NS0NE00072,-1.142,federal:senate,philips,angelic,-1.142,,,NES20,C,"Philips, Angelic Marie",philips_angelic,democrat,2,general_wayback,,"Philips, Angelic Marie_2020_2",False,
Joe Iii Manchin,WV,0.0,senate,2020,D,0.0,S0WV00090,"MANCHIN, JOE III",I,cand1600,S0WV000902020,N00032838,0.019,federal:senate,manchin,joe,,,,,,"Manchin, Joe Iii",manchin_joe,democrat,2,general_wayback,,"Manchin, Joe Iii_2020_2",False,
Martha Mcsally,AZ,0.0,senate,2020,R,0.0,S8AZ00221,"MCSALLY, MARTHA",I,cand144306,S8AZ002212020,NS8AZ00221,1.495,federal:senate,mcsally,martha,1.537,,,AZS20,I,"Mcsally, Martha",mcsally_martha,republican,2,general_wayback,,"Mcsally, Martha_2020_2",True,1637661
Jimmy Dale Ii Copley,WV,0.0,senate,2020,R,0.0,S8WV00135,"COPLEY, JIMMY DALE II",C,,,,,,,,,,,,,"Copley, Jimmy Dale Ii",copley_jimmy,republican,2,general_wayback,,"Copley, Jimmy Dale Ii_2020_2",False,
Todd Watson,NE,0.0,senate,2020,R,0.0,S4NE00157,"WATSON, TODD",C,cand189590,S4NE001572018,N00036202,1.872,federal:senate,watson,todd,,,,,,"Watson, Todd",watson_todd,republican,2,general_wayback,,"Watson, Todd_2020_2",False,
Aaron Leo Pettigrew,TN,0.0,senate,2020,R,0.0,S8TN00394,"PETTIGREW, AARON LEO",O,,,,,,,,,,,,,"Pettigrew, Aaron Leo",pettigrew_aaron,republican,2,general_wayback,,"Pettigrew, Aaron Leo_2020_2",False,
Bob Carr,MI,0.0,senate,2020,R,0.0,S4MI00298,"CARR, BOB",C,cand236,142102018,NS4MI00298,1.104,federal:senate,carr,bob,,,,,,"Carr, Bob",carr_bob,republican,2,general_wayback,,"Carr, Bob_2020_2",False,
Doug Jones,AL,0.0,senate,2020,D,0.0,S0AL00156,"JONES, DOUG",I,cand103327,S0AL001562020,NS0AL00156,-0.999,federal:senate,jones,doug,-1.009,-0.088,0.187,ALS20,C,"Jones, Doug",jones_doug,democrat,2,general_wayback,,"Jones, Doug_2020_2",True,920478
Michael F. Bennet,CO,0.0,senate,2020,D,0.0,S0CO00211,"BENNET, MICHAEL F.",I,cand1598,409102018,N00030608,-0.905,federal:senate,bennet,michael,,,,,,"Bennet, Michael F.",bennet_michael,democrat,2,general_wayback,,"Bennet, Michael F._2020_2",False,
Jerry Moran,KS,0.0,senate,2020,R,0.0,S0KS00091,"MORAN, JERRY",I,cand1448,297222018,N00005282,1.058,federal:senate,moran,jerry,,,,,,"Moran, Jerry",moran_jerry,republican,2,general_wayback,,"Moran, Jerry_2020_2",False,
R. Jon Tester,MT,0.0,senate,2020,D,0.0,S6MT00162,"TESTER, R. JON",I,cand1583,407022020,N00027605,-0.895,federal:senate,tester,r jon,,,,,,"Tester, R. Jon",tester_r,democrat,2,general_wayback,,"Tester, R. Jon_2020_2",False,
Kathy Raye Salvi,IL,0.0,senate,2022,R,0.0,S2IL00267,"SALVI, KATHY RAYE",C,cand215917,S2IL002672022,NS2IL00267,1.296,federal:senate,salvi,kathy,1.296,,,ILS22,C,"Salvi, Kathy Raye",salvi_kathy,republican,2,general_wayback,,"Salvi, Kathy Raye_2022_2",True,1701055
Joshua David Sen Hawley,MO,0.0,senate,2022,R,0.0,S8MO00160,"HAWLEY, JOSHUA DAVID SEN",I,cand141779,S8MO001602020,NS8MO00160,1.432,federal:senate,hawley,joshua,,,,,,"Hawley, Joshua David Sen",hawley_joshua,republican,2,general_wayback,,"Hawley, Joshua David Sen_2022_2",False,
Annette Dr Bosworth,SD,0.0,senate,2022,R,0.0,S4SD00064,"BOSWORTH, ANNETTE DR",O,cand160712,S4SD000642014,N00035500,1.462,federal:senate,bosworth,annette,,,,,,"Bosworth, Annette Dr",bosworth_annette,republican,2,general_wayback,,"Bosworth, Annette Dr_2022_2",False,
Charles E. Schumer,NY,0.0,senate,2022,D,0.0,S8NY00082,"SCHUMER, CHARLES E.",I,cand545,148582022,N00001093,-0.61,federal:senate,schumer,charles,-0.695,-0.355,-0.417,NYS22,I,"Schumer, Charles E.",schumer_charles,democrat,2,general_wayback,,"Schumer, Charles E._2022_2",True,3022822
Thomas Cotton,AR,0.0,senate,2022,R,0.0,S4AR00103,"COTTON, THOMAS",I,cand189537,S4AR001032022,N00033363,1.238,federal:senate,cotton,thomas,,,,,,"Cotton, Thomas",cotton_thomas,republican,2,general_wayback,,"Cotton, Thomas_2022_2",False,
Cal Cunningham,NC,0.0,senate,2022,D,0.0,S0NC00202,"CUNNINGHAM, CAL",C,cand103877,S0NC002022022,N00031446,-0.992,federal:senate,cunningham,cal,,,,,,"Cunningham, Cal",cunningham_cal,democrat,2,general_wayback,,"Cunningham, Cal_2022_2",False,
Conor Lamb,PA,0.0,senate,2022,D,0.0,S2PA00562,"LAMB, CONOR",O,cand216227,S2PA005622022,NS2PA00562,-0.805,federal:senate,lamb,conor,-0.678,-0.143,0.212,PA17,I,"Lamb, Conor",lamb_conor,democrat,2,general_wayback,,"Lamb, Conor_2022_2",False,
Ramont Turnbull,ID,0.0,senate,2022,R,0.0,S2ID00186,"TURNBULL, RAMONT",C,,,,,,,,,,,,,"Turnbull, Ramont",turnbull_ramont,republican,2,general_wayback,,"Turnbull, Ramont_2022_2",False,
Constance Lov Johnson,NC,0.0,senate,2022,D,0.0,S2NC00620,"JOHNSON, CONSTANCE LOV",O,,,,,,,,,,,,,"Johnson, Constance Lov",johnson_constance,democrat,2,general_wayback,,"Johnson, Constance Lov_2022_2",False,
Eric Orts,PA,0.0,senate,2022,D,0.0,S2PA00547,"ORTS, ERIC",O,cand216225,S2PA005472022,NS2PA00547,-1.141,federal:senate,orts,eric,-1.141,,,PAS22,O,"Orts, Eric",orts_eric,democrat,2,general_wayback,,"Orts, Eric_2022_2",False,
Donald C. Bolduc,NH,0.0,senate,2022,R,0.0,S0NH00326,"BOLDUC, DONALD C.",C,cand150211,S0NH003262022,NS0NH00326,1.415,federal:senate,bolduc,donald,1.426,,,NHS22,C,"Bolduc, Donald C.",bolduc_donald,republican,2,general_wayback,,"Bolduc, Donald C._2022_2",True,275631
Darrell L. Dr. Williams,WI,0.0,senate,2022,D,0.0,S2WI00466,"WILLIAMS, DARRELL L. DR.",C,cand216344,S2WI004662022,NS2WI00466,-1.122,federal:senate,williams,darrell,-1.122,,,WIS22,C,"Williams, Darrell L. Dr.",williams_darrell,democrat,2,general_wayback,,"Williams, Darrell L. Dr._2022_2",False,
Jefferson B Sessions,AL,0.0,senate,2022,R,0.0,S6AL00195,"SESSIONS, JEFFERSON B",C,cand1632,497002020,N00003062,1.121,federal:senate,sessions,jefferson,,,,,,"Sessions, Jefferson B",sessions_jefferson,republican,2,general_wayback,,"Sessions, Jefferson B_2022_2",False,
Paul Buskirk,KS,0.0,senate,2022,D,0.0,S2KS00139,"BUSKIRK, PAUL",C,,,,,,,,,,,,,"Buskirk, Paul",buskirk_paul,democrat,2,general_wayback,,"Buskirk, Paul_2022_2",False,
Harry Reid,NV,0.0,senate,2022,D,0.0,S6NV00028,"REID, HARRY",I,cand640,150542012,N00009922,-0.364,federal:senate,reid,harry,,,,,,"Reid, Harry",reid_harry,democrat,2,general_wayback,,"Reid, Harry_2022_2",False,
Trudy Busch Valentine,MO,0.0,senate,2022,D,0.0,S2MO00692,"BUSCH VALENTINE, TRUDY",O,cand216013,S2MO006922022,NS2MO00692,-0.937,federal:senate,busch valentine,trudy,-0.937,,,MOS22,O,"Busch Valentine, Trudy",buschvalentine_trudy,democrat,2,general_wayback,,"Busch Valentine, Trudy_2022_2",True,868875
Adam Christopher Murphy,WI,0.0,senate,2022,D,0.0,S2WI00409,"MURPHY, ADAM CHRISTOPHER",C,cand216338,S2WI004092022,NS2WI00409,-1.387,federal:senate,murphy,adam,-1.387,,,WIS22,C,"Murphy, Adam Christopher",murphy_adam,democrat,2,general_wayback,,"Murphy, Adam Christopher_2022_2",False,
Joan E. Ms. Farr,KS,0.0,senate,2022,R,0.0,S2KS00105,"FARR, JOAN E. MS.",C,,,,,,,,,,,,,"Farr, Joan E. Ms.",farr_joan,republican,2,general_wayback,,"Farr, Joan E. Ms._2022_2",False,
Robert Joseph Klingenberg,KS,0.0,senate,2022,D,0.0,S2KS00121,"KLINGENBERG, ROBERT JOSEPH",C,cand215943,S2KS001212022,NS2KS00121,-1.304,federal:senate,klingenberg,robert,-1.304,,,KSS22,C,"Klingenberg, Robert Joseph",klingenberg_robert,democrat,2,general_wayback,,"Klingenberg, Robert Joseph_2022_2",False,
Lucas Kunce,MO,0.0,senate,2022,D,0.0,S2MO00528,"KUNCE, LUCAS",O,cand215998,S2MO005282022,NS2MO00528,-1.102,federal:senate,kunce,lucas,-1.102,,,MOS22,O,"Kunce, Lucas",kunce_lucas,democrat,2,general_wayback,,"Kunce, Lucas_2022_2",False,
Mark Curran,IL,0.0,senate,2022,R,0.0,S0IL00543,"CURRAN, MARK",C,cand150187,S0IL005432020,NS0IL00543,1.212,federal:senate,curran,mark,,,,,,"Curran, Mark",curran_mark,republican,2,general_wayback,,"Curran, Mark_2022_2",False,
Joseph Matthew O'Dea,CO,0.0,senate,2022,R,0.0,S2CO00241,"O'DEA, JOSEPH MATTHEW",C,cand215809,S2CO002412022,NS2CO00241,1.372,federal:senate,odea,joseph,1.372,,,COS22,C,"O'Dea, Joseph Matthew",odea_joseph,republican,2,general_wayback,,"O'Dea, Joseph Matthew_2022_2",True,1031693
Latham Saddler,GA,0.0,senate,2022,R,0.0,S2GA00175,"SADDLER, LATHAM",C,cand215866,S2GA001752022,NS2GA00175,1.347,federal:senate,saddler,latham,1.347,,,GAS22,C,"Saddler, Latham",saddler_latham,republican,2,general_wayback,,"Saddler, Latham_2022_2",False,
Timothy Ryan,OH,0.0,senate,2022,D,0.0,S2OH00402,"RYAN, TIMOTHY",O,cand216150,S2OH004022022,NS2OH00402,-1.052,federal:senate,ryan,timothy,-1.052,,,OHS22,O,"Ryan, Timothy",ryan_timothy,democrat,2,general_wayback,,"Ryan, Timothy_2022_2",True,1939489
Evan Bayh,IN,0.0,senate,2022,D,0.0,S8IN00049,"BAYH, EVAN",O,cand1640,499012018,N00003762,-0.441,federal:senate,bayh,evan,,,,,,"Bayh, Evan",bayh_evan,democrat,2,general_wayback,,"Bayh, Evan_2022_2",False,
Jason Bollinger,OK,0.0,senate,2022,D,0.0,S2OK00137,"BOLLINGER, JASON",C,cand216169,S2OK001372022,NS2OK00137,-0.583,federal:senate,bollinger,jason,-0.583,,,OKS22,C,"Bollinger, Jason",bollinger_jason,democrat,2,general_wayback,,"Bollinger, Jason_2022_2",False,
Leonard Wheeler Britton,VT,0.0,senate,2022,R,0.0,S0VT00114,"BRITTON, LEONARD WHEELER",C,cand104254,S0VT001142010,N00031570,1.21,federal:senate,britton,leonard,,,,,,"Britton, Leonard Wheeler",britton_leonard,republican,2,general_wayback,,"Britton, Leonard Wheeler_2022_2",False,
Chris Mark Mr. Theodore,CA,0.0,senate,2022,D,0.0,S2CA01193,"THEODORE, CHRIS MARK MR.",C,cand215789,S2CA011932022,NS2CA01193,-1.445,federal:senate,theodore,chris,-1.445,,,CAS22,C,"Theodore, Chris Mark Mr.",theodore_chris,democrat,2,general_wayback,,"Theodore, Chris Mark Mr._2022_2",False,
Kimberly Graham,IA,0.0,senate,2022,D,0.0,S0IA00168,"GRAHAM, KIMBERLY",C,cand149333,S0IA001682020,NS0IA00168,-1.136,federal:senate,graham,kimberly,,,,,,"Graham, Kimberly",graham_kimberly,democrat,2,general_wayback,,"Graham, Kimberly_2022_2",False,
Usha Reddi,KS,0.0,senate,2022,D,0.0,S0KS00307,"REDDI, USHA",O,cand150554,S0KS003072020,NS0KS00307,-0.867,federal:senate,reddi,usha,,,,,,"Reddi, Usha",reddi_usha,democrat,2,general_wayback,,"Reddi, Usha_2022_2",False,
Ally Isom,UT,0.0,senate,2022,R,0.0,S2UT00344,"ISOM, ALLY",C,cand216270,S2UT003442022,NS2UT00344,0.172,federal:senate,isom,ally,0.172,,,UTS22,C,"Isom, Ally",isom_ally,republican,2,general_wayback,,"Isom, Ally_2022_2",False,
Carla (Coffee) Wright,MO,0.0,senate,2022,D,0.0,S8MO00269,"WRIGHT, CARLA (COFFEE)",O,cand145978,S8MO002692022,NS8MO00269,-1.224,federal:senate,wright,carla,-1.224,,,MOS22,O,"Wright, Carla (Coffee)",wright_carla,democrat,2,general_wayback,,"Wright, Carla (Coffee)_2022_2",False,
Karen Breslin,CO,0.0,senate,2022,D,0.0,S2CO00191,"BRESLIN, KAREN",C,cand215804,S2CO001912022,NS2CO00191,-1.318,federal:senate,breslin,karen,-1.318,,,COS22,C,"Breslin, Karen",breslin_karen,democrat,2,general_wayback,,"Breslin, Karen_2022_2",False,
Nathan Dahm,OK,0.0,senate,2022,R,0.0,S2OK00145,"DAHM, NATHAN",C,cand216170,S2OK001452022,NS2OK00145,1.508,federal:senate,dahm,nathan,1.508,,,OKS22,C,"Dahm, Nathan",dahm_nathan,republican,2,general_wayback,,"Dahm, Nathan_2022_2",False,
Timothy C Arview,IL,0.0,senate,2022,R,0.0,S2IL00150,"ARVIEW, TIMOTHY C",C,cand215906,S2IL001502022,NS2IL00150,1.377,federal:senate,arview,timothy,1.377,,,ILS22,C,"Arview, Timothy C",arview_timothy,republican,2,general_wayback,,"Arview, Timothy C_2022_2",False,
Robert C Mcdermott,HI,0.0,senate,2022,R,0.0,S2HI00155,"MCDERMOTT, ROBERT C",C,cand215879,S2HI001552022,NS2HI00155,1.465,federal:senate,mcdermott,robert,1.465,,,HIS22,C,"Mcdermott, Robert C",mcdermott_robert,republican,2,general_wayback,,"Mcdermott, Robert C_2022_2",False,
Kenneth Louis Mr. Lowndes,KY,0.0,senate,2022,R,0.0,S0KY00479,"LOWNDES, KENNETH LOUIS MR.",C,,,,,,,,,,,,,"Lowndes, Kenneth Louis Mr.",lowndes_kenneth,republican,2,general_wayback,,"Lowndes, Kenneth Louis Mr._2022_2",False,
Khaled Mr Salem,NY,0.0,senate,2022,D,0.0,S0NY00667,"SALEM, KHALED MR",C,,,,,,,,,,,,,"Salem, Khaled Mr",salem_khaled,democrat,2,general_wayback,,"Salem, Khaled Mr_2022_2",False,
Scott Mr. Sifton,MO,0.0,senate,2022,D,0.0,S2MO00478,"SIFTON, SCOTT MR.",O,cand215993,S2MO004782022,NS2MO00478,-1.007,federal:senate,sifton,scott,-1.007,,,MOS22,O,"Sifton, Scott Mr.",sifton_scott,democrat,2,general_wayback,,"Sifton, Scott Mr._2022_2",False,
Thom R. Sen. Tillis,NC,0.0,senate,2022,R,0.0,S4NC00162,"TILLIS, THOM R. SEN.",I,cand160507,S4NC001622022,N00035492,1.257,federal:senate,tillis,thom,,,,,,"Tillis, Thom R. Sen.",tillis_thom,republican,2,general_wayback,,"Tillis, Thom R. Sen._2022_2",False,
Joseph Gibson,WA,0.0,senate,2022,R,0.0,S8WA00244,"GIBSON, JOSEPH",C,,,,,,,,,,,,,"Gibson, Joseph",gibson_joseph,republican,2,general_wayback,,"Gibson, Joseph_2022_2",False,
Peggy Hubbard,IL,0.0,senate,2022,R,0.0,S0IL00501,"HUBBARD, PEGGY",C,cand159307,S0IL005012022,NS0IL00501,1.414,federal:senate,hubbard,peggy,1.372,,,ILS22,C,"Hubbard, Peggy",hubbard_peggy,republican,2,general_wayback,,"Hubbard, Peggy_2022_2",False,
T.W. Shannon,OK,0.0,senate,2022,R,0.0,S2OK00210,"SHANNON, T.W.",O,cand216177,S2OK002102022,NS2OK00210,1.148,federal:senate,shannon,tw,1.148,,,OKS22,O,"Shannon, T.W.",shannon_tw,republican,2,general_wayback,,"Shannon, T.W._2022_2",False,
Jj Mr. Stitt,OK,0.0,senate,2022,R,0.0,S0OK00347,"STITT, JJ MR.",C,cand150562,OK554663982022,OK55466398,0.869,state:upper,stitt,jj,1.021,,,OK-26,C,"Stitt, Jj Mr.",stitt_jj,republican,2,general_wayback,,"Stitt, Jj Mr._2022_2",False,
Derrick E Rev Grayson,GA,0.0,senate,2022,R,0.0,S0GA00658,"GRAYSON, DERRICK E REV",C,cand154488,S0GA006582020,NS0GA00658,1.449,federal:senate,grayson,derrick,,,,,,"Grayson, Derrick E Rev",grayson_derrick,republican,2,general_wayback,,"Grayson, Derrick E Rev_2022_2",False,
Blake Masters,AZ,0.0,senate,2022,R,0.0,S2AZ00372,"MASTERS, BLAKE",C,cand215747,S2AZ003722022,NS2AZ00372,1.432,federal:senate,masters,blake,1.432,,,AZS22,C,"Masters, Blake",masters_blake,republican,2,general_wayback,,"Masters, Blake_2022_2",True,1196308
