office,year,state,roster_n,captured_n,capture_pct
senate,2010,IN,8,3,37.5
senate,2010,KS,8,4,50.0
senate,2010,KY,15,7,46.7
senate,2010,LA,4,2,50.0
senate,2010,MA,11,7,63.6
senate,2010,MD,10,8,80.0
senate,2010,ME,4,1,25.0
senate,2010,MI,3,2,66.7
senate,2010,MN,7,5,71.4
senate,2010,MO,11,9,81.8
senate,2010,MS,5,3,60.0
senate,2010,MT,3,1,33.3
senate,2010,NC,12,6,50.0
senate,2010,ND,3,3,100.0
senate,2010,NE,4,1,25.0
senate,2010,NH,10,6,60.0
senate,2010,NJ,8,5,62.5
senate,2010,NM,6,2,33.3
senate,2010,NV,11,8,72.7
senate,2010,NY,16,8,50.0
senate,2010,OH,5,5,100.0
senate,2010,OK,6,4,66.7
senate,2010,OR,6,4,66.7
senate,2010,PA,15,8,53.3
senate,2010,RI,3,1,33.3
senate,2010,SC,8,5,62.5
senate,2010,SD,2,2,100.0
senate,2010,TN,7,4,57.1
senate,2010,TX,15,9,60.0
senate,2010,UT,8,4,50.0
senate,2010,VA,4,0,0.0
senate,2010,VT,2,2,100.0
senate,2010,WA,13,8,61.5
senate,2010,WI,4,2,50.0
senate,2010,WV,5,3,60.0
senate,2010,WY,3,1,33.3
senate,2012,AK,3,1,33.3
senate,2012,AL,2,2,100.0
senate,2012,AR,8,7,87.5
senate,2012,AZ,15,10,66.7
senate,2012,CA,17,13,76.5
senate,2012,CO,11,3,27.3
senate,2012,CT,17,5,29.4
senate,2012,DE,7,4,57.1
senate,2012,FL,23,12,52.2
senate,2012,GA,3,2,66.7
senate,2012,HI,6,4,66.7
senate,2012,IA,1,0,0.0
senate,2012,ID,5,3,60.0
senate,2012,IL,13,6,46.2
senate,2012,IN,8,6,75.0
senate,2012,KS,4,2,50.0
senate,2012,KY,11,6,54.5
senate,2012,LA,4,1,25.0
senate,2012,MA,14,8,57.1
senate,2012,MD,12,8,66.7
senate,2012,ME,11,6,54.5
senate,2012,MI,7,5,71.4
senate,2012,MN,10,10,100.0
senate,2012,MO,12,9,75.0
senate,2012,MS,3,2,66.7
senate,2012,MT,4,2,50.0
senate,2012,NC,6,2,33.3
senate,2012,ND,6,5,83.3
senate,2012,NE,9,5,55.6
senate,2012,NH,9,2,22.2
senate,2012,NJ,9,6,66.7
senate,2012,NM,9,7,77.8
senate,2012,NV,12,7,58.3
senate,2012,NY,12,6,50.0
senate,2012,OH,11,10,90.9
senate,2012,OK,3,2,66.7
senate,2012,OR,5,3,60.0
senate,2012,PA,16,8,50.0
senate,2012,RI,4,3,75.0
senate,2012,SC,4,3,75.0
senate,2012,SD,3,2,66.7
senate,2012,TN,5,5,100.0
senate,2012,TX,23,13,56.5
senate,2012,UT,12,11,91.7
senate,2012,VA,9,2,22.2
senate,2012,VT,4,4,100.0
senate,2012,WA,11,4,36.4
senate,2012,WI,11,7,63.6
senate,2012,WV,4,2,50.0
senate,2012,WY,2,1,50.0
senate,2014,AK,4,3,75.0
senate,2014,AL,3,3,100.0
senate,2014,AR,7,6,85.7
senate,2014,AZ,9,4,44.4
senate,2014,CA,10,6,60.0
senate,2014,CO,17,11,64.7
senate,2014,CT,14,9,64.3
senate,2014,DE,7,3,42.9
senate,2014,FL,18,8,44.4
senate,2014,GA,14,11,78.6
senate,2014,HI,7,6,85.7
