candidate,state,district,office,year,party,stage,sel_date,n_snapshots_available,n_pages,page_types,urlkey,n_char,n_words
Grant Short,KY,2.0,house,2018,D,2,20180406093611,15,1,homepage,https://www.grant4ky.com,1638,203
Ron Estes,KS,4.0,house,2018,R,2,20181017144855,12,9,action;biography;homepage;issues;news;other,https://www.estesforcongress.com,19442,2711
Mona Das,WA,8.0,house,2018,D,2,20180309230314,8,1,homepage,https://www.electmona.com,2958,448
Stephen Kerrigan,MA,3.0,house,2018,D,2,20180307015842,2,1,homepage,https://stevekerrigan.com,691,89
S. Brett Hon. Guthrie,KY,2.0,house,2018,R,2,20181017165636,9,11,action;biography;homepage;issues;news;other,https://www.brettguthrie.com,33216,4359
Mike Mccamon,KS,3.0,house,2018,D,2,20180724121317,10,10,homepage;issues;other,https://mikeforkansas.com,52287,7102
Jered Gavin Bonneau,WA,5.0,house,2018,R,2,20181205001328,4,4,action;homepage,https://www.electbonneau.com,25923,3903
Tony Van Pelt,IN,7.0,house,2018,R,2,20180415063527,20,5,biography;homepage;other,https://www.borderlessu.com,6807,736
Christopher Shays,CT,4.0,house,2018,R,2,20180323133112,8,3,biography;homepage;other,https://www.shaysforcongress.org,25140,4015
Lander Louis Bethel Jr,TX,4.0,house,2018,D,2,20180613100209,24,20,action;biography;homepage;news;other,https://bethel4congress.com,104896,14250
Jose Javier Rodriguez,FL,27.0,house,2018,D,2,20181111194313,4,1,homepage,https://jjr2018.com,3235,534
Lizzetta Hill Mcconnell,AL,1.0,house,2018,D,2,20180414234222,3,1,homepage,https://www.lizzettaforcongress.com,651,65
Jeff Erdmann,MN,2.0,house,2018,D,2,20180126101251,8,4,homepage;issues;news,https://erdmannforcongress.com,27487,4174
Scott A Menor,AZ,5.0,house,2018,D,2,20181204123500,7,1,homepage,http://smenor.com,3993,617
Frankie Lee Robbins,OK,3.0,house,2018,D,2,20181212014924,10,7,homepage;other,https://robbinsforoklahoma.com,10917,1522
Kirsten Hagen Kennedy,MN,8.0,house,2018,D,2,20180624092908,6,3,homepage;issues;other,https://votekirsten.com,11382,1731
